Date,Price,Open,High,Low,Chg%
"Jan 01, 2014",28418,28400,28490,28390,-0.01%
"Jan 02, 2014",28968,28490,28995,28490,1.94%
"Jan 03, 2014",29159,29000,29242,28833,0.66%
"Jan 04, 2014",29159,29159,29159,29159,0.00%
"Jan 06, 2014",28974,29213,29276,28890,-0.63%
"Jan 07, 2014",28834,29001,29060,28802,-0.48%
"Jan 08, 2014",28796,28766,28878,28671,-0.13%
"Jan 09, 2014",28862,28875,28912,28712,0.23%
"Jan 10, 2014",29033,28878,29070,28811,0.59%
"Jan 13, 2014",29212,29045,29232,29012,0.62%
"Jan 14, 2014",29096,29171,29314,29031,-0.40%
"Jan 15, 2014",29019,29023,29074,28865,-0.26%
"Jan 16, 2014",29034,29049,29141,28953,0.05%
"Jan 17, 2014",29265,29031,29310,28911,0.80%
"Jan 20, 2014",29288,29288,29390,29261,0.08%
"Jan 21, 2014",29241,29238,29298,29130,-0.16%
"Jan 22, 2014",29150,29208,29278,29121,-0.31%
"Jan 23, 2014",29355,29102,29389,28965,0.70%
"Jan 24, 2014",29519,29270,29675,29252,0.56%
"Jan 27, 2014",29798,29550,29849,29550,0.95%
"Jan 28, 2014",29521,29718,29718,29470,-0.93%
"Jan 29, 2014",29738,29450,29840,29346,0.74%
"Jan 30, 2014",29378,29789,29820,29353,-1.21%
"Jan 31, 2014",29462,29363,29584,29255,0.29%
"Feb 03, 2014",29845,29500,29885,29399,1.30%
"Feb 04, 2014",29688,29701,29834,29600,-0.53%
"Feb 05, 2014",31370,29796,31468,29748,5.67%
"Feb 06, 2014",28650,28680,28940,28625,-8.67%
"Feb 07, 2014",28754,28730,28900,28683,0.36%
"Feb 10, 2014",28935,28850,29009,28825,0.63%
"Feb 11, 2014",29104,28980,29174,28980,0.58%
"Feb 12, 2014",29132,29070,29160,29006,0.10%
"Feb 13, 2014",29184,29120,29218,29062,0.18%
"Feb 14, 2014",29375,29230,29425,29230,0.65%
"Feb 17, 2014",30157,29445,30218,29384,2.66%
"Feb 18, 2014",30224,30035,30260,29974,0.22%
"Feb 19, 2014",30031,30132,30150,29752,-0.64%
"Feb 20, 2014",29882,29960,29980,29790,-0.50%
"Feb 21, 2014",29889,29865,29970,29772,0.02%
"Feb 24, 2014",30120,29881,30174,29881,0.77%
"Feb 25, 2014",30240,30035,30267,30035,0.40%
"Feb 26, 2014",30042,30240,30240,29883,-0.65%
"Feb 27, 2014",30089,30090,30185,30010,0.16%
"Feb 28, 2014",30090,30026,30400,30026,0.00%
"Mar 03, 2014",30631,30192,30660,30192,1.80%
"Mar 04, 2014",30160,30650,30650,30051,-1.54%
"Mar 05, 2014",30158,30191,30318,30080,-0.01%
"Mar 06, 2014",30209,30082,30235,29900,0.17%
"Mar 07, 2014",30130,30202,30340,29930,-0.26%
"Mar 10, 2014",30123,30063,30148,29956,-0.02%
"Mar 11, 2014",30247,30025,30335,29963,0.41%
"Mar 12, 2014",30472,30280,30546,30280,0.74%
"Mar 13, 2014",30549,30537,30575,30322,0.25%
"Mar 14, 2014",30595,30585,30737,30452,0.15%
"Mar 17, 2014",30375,30560,30566,30352,-0.72%
"Mar 18, 2014",30205,30350,30350,30112,-0.56%
